"job","ceoSenator"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly be elected a senator"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly be elected a senator"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly be elected a senator"
"No","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"No","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly be elected a senator"
"No","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"Yes","Suddenly be elected a senator"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly be elected a senator"
"Yes","Suddenly be elected a senator"
"No","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly be elected a senator"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly be elected a senator"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"Yes","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"No","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"Yes","Suddenly be elected a senator"
"Yes","Suddenly be elected a senator"
"No","Suddenly be elected a senator"
"No","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly be elected a senator"
"No","Suddenly be elected a senator"
"Yes","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"Yes","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"No","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly be elected a senator"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly be elected a senator"
"No","Suddenly be elected a senator"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"No","Suddenly be elected a senator"
"Yes","Suddenly be elected a senator"
"Yes","Suddenly be elected a senator"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No",NA
"Yes","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly be elected a senator"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly be elected a senator"
"No","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly be elected a senator"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"No","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly be elected a senator"
"No","Suddenly be elected a senator"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly be elected a senator"
"No","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly be elected a senator"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly be elected a senator"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly be elected a senator"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly be elected a senator"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly be elected a senator"
"Yes","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly be elected a senator"
"Yes","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"Yes","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"No","Suddenly be elected a senator"
"No","Suddenly become a CEO of a major company"
"No","Suddenly become a CEO of a major company"
